,assay_chembl_id,molecule_chembl_id,standard_value,pIC50,canonical_smiles
0,CHEMBL692724,CHEMBL690,1370.0,5.863279432843593,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
1,CHEMBL691976,CHEMBL11804,3000.0,5.522878745280337,Cn1nnnc1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+]
2,CHEMBL692721,CHEMBL11891,1720.0,5.764471553092451,O=C([O-])C[C@H](O)C[C@H](O)/C=C/C(=C(c1ccc(F)cc1)c1ccc(F)cc1)n1cnnn1.[Na+]
3,CHEMBL692721,CHEMBL276717,1290.0,5.889410289700751,Cc1nnnn1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+]
4,CHEMBL692721,CHEMBL503,39.0,7.4089353929735005,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
5,CHEMBL692725,CHEMBL162642,0.014,10.853871964321762,CC(C)c1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+]
6,CHEMBL692725,CHEMBL348798,0.002,11.698970004336019,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+]
7,CHEMBL692725,CHEMBL159951,0.018,10.744727494896694,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+]
8,CHEMBL692725,CHEMBL345375,6.0,8.221848749616356,Cc1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+]
9,CHEMBL692725,CHEMBL159103,5.0,8.301029995663981,Cc1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)n1-c1ccccc1.[Na+]
10,CHEMBL692725,CHEMBL2375156,0.83,9.080921907623926,Cc1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+]
11,CHEMBL692725,CHEMBL163277,0.27,9.568636235841012,Cc1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+]
12,CHEMBL692725,CHEMBL2375155,0.106,9.97469413473523,CC(C)c1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C1CCCCC1.[Na+]
13,CHEMBL692725,CHEMBL160102,0.05,10.301029995663981,CC(C)c1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1C(C)C.[Na+]
14,CHEMBL692725,CHEMBL161829,0.57,9.244125144327509,Cc1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(C)n1-c1ccccc1.[Na+]
15,CHEMBL687160,CHEMBL133834,1500.0,5.823908740944319,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(C)O)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C
16,CHEMBL687160,CHEMBL133434,1000.0,6.0,CC(=O)[C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCC1C2=CCC2C(C)(C)[C@@H](O)CC[C@]12C
17,CHEMBL692727,CHEMBL74667,10000.0,5.0,CC(C)(O)CCCCc1cccc(/C=C/[C@]2(C)CC[C@@H](O)CC2)c1
18,CHEMBL692727,CHEMBL169046,300.0,6.522878745280337,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
19,CHEMBL692726,CHEMBL2368189,26.0,7.585026652029182,CC(C)c1nc(C2CCCCC2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
20,CHEMBL692726,CHEMBL2368185,18.0,7.7447274948966935,CC(C)c1nc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
21,CHEMBL692726,CHEMBL2368188,5.0,8.301029995663981,CC(C)c1nc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
22,CHEMBL692726,CHEMBL2368197,20.0,7.698970004336019,CC(C)c1nc(C(C)(C)C)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
23,CHEMBL692726,CHEMBL2111271,2000.0,5.698970004336019,Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1
24,CHEMBL692726,CHEMBL2368190,4.8,8.318758762624412,CC(C)c1nc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1
25,CHEMBL692726,CHEMBL2368198,50.0,7.301029995663981,Cc1cc(-c2ccc(F)cc2)c(/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)c(C(C)C)n1
26,CHEMBL692726,CHEMBL2111238,5000.0,5.301029995663981,Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C\[C@@H]1C[C@@H](O)CC(=O)O1
27,CHEMBL692726,CHEMBL2111268,90.0,7.045757490560675,Cc1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
28,CHEMBL692726,CHEMBL2368199,5.0,8.301029995663981,CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
29,CHEMBL692726,CHEMBL156695,370.0,6.431798275933005,CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1CCC1C[C@@H](O)CC(=O)O1
30,CHEMBL692726,CHEMBL2368200,10.0,8.0,CC(C)c1cc(-c2ccccc2)nc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
31,CHEMBL692726,CHEMBL2368205,20.0,7.698970004336019,Cc1ccc(C)c(-c2cc(-c3ccc(F)cc3)c(/C=C/[C@@H]3C[C@@H](O)CC(=O)O3)c(C(C)C)n2)c1
32,CHEMBL692726,CHEMBL2368194,150.0,6.823908740944319,COc1ccc(-c2cc(-c3ccccc3)nc(C(C)C)c2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)cc1
33,CHEMBL692726,CHEMBL2368202,7.5,8.1249387366083,CC(C)c1nc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
34,CHEMBL692726,CHEMBL2368191,9.5,8.022276394711152,CC(C)c1nc(C2CCCCC2)cc(-c2ccc(F)cc2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1
35,CHEMBL692133,CHEMBL65037,110.0,6.958607314841775,CC(C)c1nn(-c2ccccn2)c(-c2ccc(F)cc2)c1CCC(O)C[C@@H](O)CC(=O)[O-].[Na+]
36,CHEMBL692133,CHEMBL303515,20.0,7.698970004336019,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
37,CHEMBL687156,CHEMBL333443,18.0,7.7447274948966935,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21
38,CHEMBL687156,CHEMBL54440,28.4,7.546681659952962,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
39,CHEMBL692133,CHEMBL2367477,24.0,7.619788758288394,CC(C)c1nn(-c2ccccn2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]
40,CHEMBL692133,CHEMBL2367475,62.0,7.2076083105017466,CC(C)c1nn(-c2ccc3ccccc3n2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]
41,CHEMBL692133,CHEMBL2367472,7.0,8.154901959985743,CC(C)c1nn(-c2cnccn2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]
42,CHEMBL687156,CHEMBL3349825,19.7,7.705533773838407,CCC(C)(C)C(=O)O[C@@H]1C2C(=C[C@H](C)[C@H]1[C@@H](O)c1ccccc1)C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1
43,CHEMBL692133,CHEMBL2367478,7.0,8.154901959985743,CC(C)c1nn(-c2ccccc2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]
44,CHEMBL692133,CHEMBL2367471,59.0,7.229147988357855,CC(C)c1nn(-c2nc3ccccc3s2)c(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+]
45,CHEMBL692133,CHEMBL1144,30.0,7.522878745280337,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
46,CHEMBL687156,CHEMBL3349824,13.3,7.876148359032914,CCC(C)(C)C(=O)O[C@@H]1C2C(=C[C@H](C)[C@@H]1O)C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1
47,CHEMBL687156,CHEMBL3349827,7.6,8.119186407719209,CCC(C)(C)C(=O)O[C@@H]1C2C(=C[C@H](C)[C@H]1[C@H](C)O)C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1
48,CHEMBL692133,CHEMBL2367470,17.0,7.769551078621726,O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C(F)(F)F)nn(-c2ccccn2)c1-c1ccc(F)cc1.[Na+]
49,CHEMBL692133,CHEMBL64962,40.0,7.3979400086720375,CC(C)c1nn(-c2ccccc2)c(-c2ccc(F)cc2)c1CCC(O)C[C@@H](O)CC(=O)[O-].[Na+]
50,CHEMBL687156,CHEMBL3349828,10.8,7.966576244513051,CCC(C)(C)C(=O)O[C@@H]1C2C(=C[C@H](C)[C@H]1CO)C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1
51,CHEMBL687156,CHEMBL3349544,12.1,7.91721462968355,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C21
52,CHEMBL832812,CHEMBL50444,4000.0,5.3979400086720375,CC(O)(CC(=O)O)CC(=O)O
53,CHEMBL832812,CHEMBL1064,11.2,7.950781977329818,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
54,CHEMBL832812,CHEMBL1496,5.4,8.267606240177031,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
55,CHEMBL832902,CHEMBL1161645,8.4,8.075720713938118,Cc1cc(F)ccc1-c1c(-c2ccc(F)cc2)nc(C(C)C)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
56,CHEMBL832902,CHEMBL1161650,7.52,8.123782159408357,Cc1cc(-c2c(-c3ccc(F)cc3)nc(C(C)C)n2/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)cc(C)c1F
57,CHEMBL832902,CHEMBL1161653,7.0,8.154901959985743,CCc1cc(-c2c(-c3ccc(F)cc3)nc(C(C)C)n2/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)cc(CC)c1F
58,CHEMBL832902,CHEMBL1161657,8.7,8.060480747381382,Cc1cc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c2-c2ccc(F)cc2)cc(C)c1Cl
59,CHEMBL832902,CHEMBL1161662,9.0,8.045757490560675,CC(C)c1nc(-c2cccnc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
60,CHEMBL832902,CHEMBL1161641,8.7,8.060480747381382,CC(C)c1nc(-c2cccc(S(C)(=O)=O)c2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
61,CHEMBL832902,CHEMBL1161647,8.52,8.0695604052333,CNc1cccc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c2-c2ccc(F)cc2)c1
62,CHEMBL832902,CHEMBL1161659,6.15,8.211124884224583,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@H](O)C[C@H](O)CC(=O)O
63,CHEMBL832902,CHEMBL1161663,5.7,8.244125144327509,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@H](O)C[C@@H](O)CC(=O)O
64,CHEMBL832902,CHEMBL333760,9.0,8.045757490560675,CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
65,CHEMBL832902,CHEMBL1161644,8.7,8.060480747381382,CC(C)c1cc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
66,CHEMBL832902,CHEMBL1161649,8.7,8.060480747381382,CC(C)c1cc(-c2ccccc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
67,CHEMBL832902,CHEMBL1161654,8.7,8.060480747381382,CC(C)c1cc(-c2cccc(Cl)c2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
68,CHEMBL832902,CHEMBL1161658,9.3,8.031517051446064,CC(C)c1cc(-c2cccc(Br)c2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
69,CHEMBL832902,CHEMBL1161661,8.3,8.080921907623926,CC(C)c1cc(-c2ccncc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
70,CHEMBL832902,CHEMBL1161665,8.7,8.060480747381382,CC(C)c1cc(-c2ccccn2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
71,CHEMBL832902,CHEMBL1161642,9.52,8.021363051615525,CC(C)c1c(Br)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
72,CHEMBL832902,CHEMBL1161646,7.6,8.119186407719209,CC(C)c1cc(-c2ccc(F)cc2)c(-c2ccccc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
73,CHEMBL832902,CHEMBL1161651,7.15,8.145693958198919,CC(C)c1cc(-c2ccc(F)cc2)c(-c2cccc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
74,CHEMBL832902,CHEMBL1161655,7.16,8.145086977692145,CC(C)c1cc(-c2ccc(F)cc2)c(-c2cccc(Br)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
75,CHEMBL832902,CHEMBL2220442,28.0,7.552841968657781,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
76,CHEMBL832902,CHEMBL1477,10.0,8.0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1
77,CHEMBL832902,CHEMBL1487,6.0,8.221848749616356,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
78,CHEMBL832902,CHEMBL1161639,7.89,8.10292299679058,O=C(O)C[C@H](O)C[C@H](O)/C=C/n1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1
79,CHEMBL832902,CHEMBL1161648,8.15,8.088842391260023,CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
80,CHEMBL832902,CHEMBL1161652,8.04,8.094743951251548,CN(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
81,CHEMBL832902,CHEMBL1161656,9.0,8.045757490560675,CC(C)c1c(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
82,CHEMBL832902,CHEMBL1161660,8.1,8.09151498112135,CC(C)c1nc(-c2ccc(F)cc2)c(-c2cccc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
83,CHEMBL832902,CHEMBL1161664,7.66,8.115771230367397,CC(C)c1nc(-c2ccc(F)cc2)c(-c2cc(Cl)cc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O
84,CHEMBL832902,CHEMBL1161640,7.25,8.139661993429007,Cc1cc(C)cc(-c2c(-c3ccc(F)cc3)nc(C(C)C)n2/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1
85,CHEMBL888891,CHEMBL391002,3.0,8.522878745280337,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)N(C)Cc1ccccc1
86,CHEMBL888891,CHEMBL387514,3.5,8.455931955649724,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c1C(=O)N(Cc1ccccc1)CCC2.[Na+]
87,CHEMBL888891,CHEMBL228955,0.3,9.522878745280337,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c1C(=O)N(c1ccccc1)CCC2.[Na+]
88,CHEMBL888891,CHEMBL228954,11.7,7.931814138253839,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3[nH]c(=O)c21.[Na+]
89,CHEMBL888891,CHEMBL389443,4.7,8.327902142064282,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3ccc(F)cc3)c(=O)c21.[Na+]
90,CHEMBL888891,CHEMBL228583,37.4,7.42712839779952,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3cccc(F)c3)c(=O)c21.[Na+]
91,CHEMBL888891,CHEMBL389442,3.0,8.522878745280337,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3ccccc3F)c(=O)c21.[Na+]
92,CHEMBL888891,CHEMBL389441,13.9,7.856985199745905,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3ccccc3)c(=O)c21.[Na+]
93,CHEMBL888891,CHEMBL389217,16.4,7.785156151952302,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3ccc(F)cc3)c(=O)c21.[Na+]
94,CHEMBL888891,CHEMBL389216,2.9,8.537602002101044,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3cccc(Cl)c3)c(=O)c21.[Na+]
95,CHEMBL888891,CHEMBL228528,1.9,8.721246399047171,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3cccc(F)c3)c(=O)c21.[Na+]
96,CHEMBL888891,CHEMBL228667,9.6,8.017728766960431,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c1C(=O)N(c1ccccc1)Cc1ccccc1-2.[Na+]
97,CHEMBL888891,CHEMBL438662,16.7,7.777283528852417,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3ccccc3)c(=O)c21.[Na+]
98,CHEMBL888891,CHEMBL389002,1.8,8.744727494896694,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1
99,CHEMBL922900,CHEMBL250707,3.8,8.42021640338319,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NC1CC1.[Na+]
100,CHEMBL922900,CHEMBL250500,15.0,7.823908740944319,CC(C)NC(=O)c1c(-c2ccccc2)c(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n1C(C)C.[Na+]
101,CHEMBL922900,CHEMBL250090,20.0,7.698970004336019,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)N(C)C.[Na+]
102,CHEMBL922900,CHEMBL249884,12.0,7.920818753952375,CCNC(=O)c1c(-c2ccccc2)c(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n1C(C)C.[Na+]
103,CHEMBL922900,CHEMBL399771,8.8,8.05551732784983,CNC(=O)c1c(-c2ccccc2)c(-c2ccc(F)cc2)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n1C(C)C.[Na+]
104,CHEMBL922900,CHEMBL438694,3.0,8.522878745280337,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(N)=O.[Na+]
105,CHEMBL922900,CHEMBL249273,3.4,8.468521082957745,Cc1cnc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n2C(C)C)[nH]1.[Na+]
106,CHEMBL922900,CHEMBL400560,2.6,8.585026652029182,Cc1cc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n2C(C)C)n[nH]1.[Na+]
107,CHEMBL922900,CHEMBL398551,0.6,9.221848749616356,Cc1cc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n2C(C)C)nn1C.[Na+]
108,CHEMBL922900,CHEMBL398240,0.8,9.096910013008056,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccccn1.[Na+]
109,CHEMBL922900,CHEMBL398239,1.5,8.823908740944319,Cc1csc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n2C(C)C)n1.[Na+]
110,CHEMBL922900,CHEMBL401293,2.2,8.657577319177793,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccc(C(=O)O)cc1.[Na+]
111,CHEMBL922900,CHEMBL251499,1.2,8.920818753952375,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccc(C(=O)N(C)C)cc1.[Na+]
